,endTime,artistName,trackName,msPlayed
100,2020-10-01 00:56,Hozier,Nina Cried Power (feat. Mavis Staples),65427
101,2020-10-01 05:20,C418,Danny,254500
102,2020-10-01 05:25,C418,Mice On Venus,281500
103,2020-10-01 05:26,C418,Door,111437
104,2020-10-01 05:28,C418,Beginning,102100
105,2020-10-01 05:29,C418,Dry Hands,68500
106,2020-10-01 05:33,C418,Sweden,215500
107,2020-10-01 05:34,C418,Chris,87750
108,2020-10-01 05:37,C418,Thirteen,176500
109,2020-10-01 05:40,C418,Moog City,160000
110,2020-10-01 05:43,C418,Cat,186250
111,2020-10-01 05:45,C418,Wet Hands,90000
112,2020-10-01 05:46,C418,Oxygène,65125
113,2020-10-01 05:48,C418,Excuse,124000
114,2020-10-01 05:51,C418,Clark,191750
115,2020-10-01 05:52,C418,Minecraft,59167
116,2020-10-01 05:52,Hozier,Almost (Sweet Music),4190
117,2020-10-01 05:56,Honeywater,7 Hours Ago,258253
118,2020-10-01 05:59,MyKey,Homesick Remedy,144929
119,2020-10-01 06:03,Knox Hamilton,The Heights,233213
120,2020-10-01 06:06,Magic City Hippies,The Wind,195093
121,2020-10-01 06:10,Hey Fever,Yellow Motif,231217
122,2020-10-01 06:14,Keep for Cheap,Day Without You,248132
123,2020-10-01 06:17,joe p,justacow (demo3),184304
124,2020-10-01 06:20,The Nebulous,I'll Follow You into the Dark,200711
125,2020-10-01 06:23,badly,I'm Okay Now,182970
126,2020-10-01 06:26,Good Old War,Every Morning,180413
127,2020-10-01 06:29,{Parentheses},It's Always Sunny With You,161097
128,2020-10-01 06:31,Matt Duncan,Heart & Arrow,104786
129,2020-10-01 06:38,Joel Ansett,Known & Loved,401653
130,2020-10-01 06:41,The Avett Brothers,Trouble Letting Go,221413
131,2020-10-01 06:45,Ezra Bell,The Joke Was on Me,224995
132,2020-10-01 06:49,Andrew Bird,Pulaski,242146
133,2020-10-01 06:53,Humbear,Favorite Place,220526
134,2020-10-01 06:56,Animal Years,Caroline,211733
135,2020-10-01 07:00,High Highs,Open Season,231322
136,2020-10-01 07:04,The Riverside,"Oregon, Virginia",234500
137,2020-10-01 07:09,AFTM,Middle,323253
138,2020-10-01 07:14,Will Trotman Band,Black and White,273488
139,2020-10-01 07:16,Guantanamo Bay Surf Club,Homesick of Home,142874
140,2020-10-01 07:19,Saint Motel,Happy Accidents,183333
141,2020-10-01 07:23,Ben Thornewill,Songbirds,230104
142,2020-10-01 07:27,Rococo Disco,Honey Do,192028
143,2020-10-01 07:31,Sleeping At Last,Seven,261932
144,2020-10-01 07:36,Blake Ruby,Adam & Eve,305621
145,2020-10-01 07:40,MAGIC GIANT,Hideaway,250786
146,2020-10-01 07:44,Seryn,Mausoleum,237284
147,2020-10-01 07:48,Honeywater,7 Hours Ago,258253
148,2020-10-01 07:51,MyKey,Homesick Remedy,144929
149,2020-10-01 07:55,Knox Hamilton,The Heights,233213
150,2020-10-01 07:58,Magic City Hippies,The Wind,195093
151,2020-10-01 08:02,Keep for Cheap,Day Without You,19630
152,2020-10-01 08:02,Hey Fever,Yellow Motif,231217
153,2020-10-01 17:09,C418,Wet Hands,90000
154,2020-10-01 17:13,C418,Sweden,215500
155,2020-10-01 17:14,C418,Oxygène,65125
156,2020-10-01 17:18,C418,Danny,254500
157,2020-10-01 17:20,C418,Beginning,102100
158,2020-10-01 17:24,C418,Minecraft,254000
159,2020-10-01 17:27,C418,Clark,191750
160,2020-10-01 17:32,C418,Mice On Venus,281500
161,2020-10-01 17:35,C418,Moog City,160000
162,2020-10-01 17:38,C418,Living Mice,177500
163,2020-10-01 17:40,C418,Door,111437
164,2020-10-01 17:41,C418,Dry Hands,68500
165,2020-10-01 17:42,C418,Key,65000
166,2020-10-01 17:45,C418,Subwoofer Lullaby,208562
167,2020-10-01 17:48,C418,Dog,145750
168,2020-10-01 17:51,C418,Haggstrom,204000
169,2020-10-01 17:53,The Lumineers,Walls,208
170,2020-10-01 17:53,The Lumineers,Life In The City,3715
171,2020-10-01 17:53,C418,Chris,87750
172,2020-10-01 17:53,C418,Thirteen,26551
173,2020-10-01 17:57,The Lumineers,Walls,199118
174,2020-10-01 18:01,Hozier,"Wasteland, Baby!",266466
175,2020-10-01 18:04,The Lumineers,Angela,96173
176,2020-10-01 18:05,The Lumineers,Angela,105643
177,2020-10-01 18:10,Hozier,From Eden,283466
178,2020-10-01 18:14,Hozier,Nina Cried Power (feat. Mavis Staples),225306
179,2020-10-01 18:17,Carrie Underwood,Before He Cheats,1230
180,2020-10-01 18:17,The Killers,Mr. Brightside,5804
181,2020-10-01 18:17,DJ Jazzy Jeff & The Fresh Prince,The Fresh Prince of Bel-Air,1068
182,2020-10-01 18:17,The Lumineers,Salt And The Sea,178553
183,2020-10-01 18:17,Electric Light Orchestra,Mr. Blue Sky,696
184,2020-10-01 18:17,Fountains Of Wayne,Stacy's Mom,1277
185,2020-10-01 18:17,Christopher Jackson,Cabinet Battle #1,928
186,2020-10-01 18:17,Fort Minor,Remember the Name (feat. Styles of Beyond),1044
187,2020-10-01 18:17,Green Day,Basket Case,3459
188,2020-10-01 18:17,The Neighbourhood,Sweater Weather,1996
